time,close,high,low,open,volumefrom,volumeto,vwap,base,quote,exchange
1503100800,292.94,298.14,285.1,292.33,117238.43,34239926.67,292.053780232301,eth,usd,gemini
1503187200,297.39,297.97,288.0,292.94,88084.86,25733842.93,292.14830936894265,eth,usd,gemini
1503273600,321.98,343.96,293.6,297.39,215598.48,69396403.19,321.8779797983733,eth,usd,gemini
1503360000,314.03,328.02,292.73,321.98,165310.98,51440081.36,311.17159525640704,eth,usd,gemini
1503446400,317.74,325.64,313.56,314.03,108934.79,34753058.53,319.0262590123872,eth,usd,gemini
1503532800,324.79,328.7,315.53,317.74,107215.83,34455767.17,321.36828274332254,eth,usd,gemini
1503619200,331.33,338.2,324.0,324.79,102655.62,34026981.93,331.467307196625,eth,usd,gemini
1503705600,331.33,331.33,331.33,331.33,0.0,0.0,,eth,usd,gemini
1503792000,347.8,347.96,331.13,331.33,58942.54,19941980.12,338.3291612475472,eth,usd,gemini
1503878400,348.17,350.0,337.5,347.8,112604.1,38721563.97,343.87348213786174,eth,usd,gemini
1503964800,372.02,374.35,345.28,348.17,165297.18,59894448.92,362.3440455548002,eth,usd,gemini
1504051200,384.0,390.85,368.0,372.02,150439.19,57096980.42,379.53528212961,eth,usd,gemini
1504137600,388.48,390.01,380.0,384.0,108500.54,41812351.67,385.36537855018975,eth,usd,gemini
1504224000,392.13,398.07,387.41,388.48,89903.04,35317972.06,392.8451369386397,eth,usd,gemini
1504310400,354.39,393.21,333.0,392.13,207265.68,74673890.63,360.281020138018,eth,usd,gemini
1504396800,352.18,371.48,339.41,354.39,104014.06,36747502.35,353.2936061720887,eth,usd,gemini
1504483200,301.73,352.18,280.0,352.18,212736.84,64412052.38,302.77808197207406,eth,usd,gemini
1504569600,262.88,304.43,262.88,301.73,14098.61,3995324.39,283.38427618041777,eth,usd,gemini
1504656000,339.12,341.24,316.64,317.62,102864.62,34012170.57,330.64984413494165,eth,usd,gemini
1504742400,335.0,340.0,322.08,339.12,65719.35,21747712.41,330.9179474538321,eth,usd,gemini
1504828800,307.98,335.08,290.0,335.0,134480.96,41555210.87,309.00441869243053,eth,usd,gemini
1504915200,302.83,309.95,293.64,307.98,54638.73,16537936.23,302.67790320163004,eth,usd,gemini
1505001600,299.84,305.35,283.48,302.83,78995.93,23211045.39,293.82583874890776,eth,usd,gemini
1505088000,298.36,308.49,287.01,299.84,80234.78,23811758.53,296.77601820557123,eth,usd,gemini
1505174400,293.8,317.31,286.0,298.36,98061.29,29448218.83,300.3042161692957,eth,usd,gemini
1505260800,275.49,294.5,256.77,293.8,169610.7,46619134.65,274.8596323816834,eth,usd,gemini
1505347200,223.41,280.49,222.09,275.49,247630.07,60435320.97,244.05485557549613,eth,usd,gemini
1505433600,258.48,268.74,200.0,223.41,294160.02,68697793.5,233.53885242460888,eth,usd,gemini
1505520000,255.01,270.0,247.32,258.48,46314.91,11792384.09,254.61312760836626,eth,usd,gemini
1505606400,260.02,268.0,241.25,255.01,48550.98,12346982.33,254.30964174152612,eth,usd,gemini
1505692800,297.8,300.77,260.02,260.02,118430.33,34145470.73,288.31694321885277,eth,usd,gemini
1505779200,283.01,300.31,276.0,297.8,88727.6,25420144.55,286.4964740396449,eth,usd,gemini
1505865600,282.62,293.89,278.0,283.01,47654.57,13636734.38,286.15795672901885,eth,usd,gemini
1505952000,258.5,286.56,251.12,282.62,104271.31,28110086.57,269.5860114349767,eth,usd,gemini
1506038400,263.38,270.98,254.51,258.5,45405.14,11878388.49,261.60889471984893,eth,usd,gemini
1506124800,285.53,286.27,258.99,263.38,29792.66,8241597.94,276.63182609407824,eth,usd,gemini
1506211200,282.94,294.0,274.95,285.53,31934.7,9111492.81,285.3163740382719,eth,usd,gemini
1506297600,293.84,297.27,282.51,282.94,37721.22,11011191.0,291.90972614353404,eth,usd,gemini
1506384000,288.01,295.52,287.0,293.84,21923.64,6375480.35,290.803915316982,eth,usd,gemini
1506470400,309.88,311.72,287.56,288.01,47287.99,14185245.38,299.97564667053945,eth,usd,gemini
1506556800,302.41,310.11,297.88,309.88,39043.7,11831886.75,303.04214892543484,eth,usd,gemini
1506643200,293.24,304.15,278.0,302.41,55100.11,15958716.04,289.631291843156,eth,usd,gemini
1506729600,301.27,304.96,293.17,293.24,14926.85,4484775.63,300.4502376589836,eth,usd,gemini
1506816000,302.9,303.0,295.0,301.27,11908.69,3561786.78,299.09140132122,eth,usd,gemini
1506902400,296.22,302.9,292.29,302.9,29156.8,8684383.31,297.8510436673435,eth,usd,gemini
1506988800,291.78,300.95,286.37,296.22,35081.83,10265995.73,292.6299947864749,eth,usd,gemini
1507075200,291.48,296.03,289.0,291.78,33792.44,9918152.34,293.5021069801411,eth,usd,gemini
1507161600,294.28,297.01,286.46,291.48,16539.28,4831361.92,292.11440401275024,eth,usd,gemini
1507248000,305.57,305.57,293.81,294.28,20575.09,6179643.16,300.34586288565447,eth,usd,gemini
1507334400,311.82,313.0,304.51,305.57,12178.96,3761650.26,308.864653467948,eth,usd,gemini
1507420800,308.81,314.56,308.53,311.82,18581.62,5781163.44,311.1226814454284,eth,usd,gemini
1507507200,295.98,309.21,285.39,308.81,52208.1,15528028.66,297.4256611521967,eth,usd,gemini
1507593600,298.46,304.97,291.21,295.98,18506.11,5540603.05,299.3931760915719,eth,usd,gemini
1507680000,302.5,303.77,297.5,298.46,23785.16,7159725.69,301.01650314734064,eth,usd,gemini
1507766400,302.76,307.27,301.01,302.5,40036.94,12198808.47,304.68883161400447,eth,usd,gemini
1507852800,336.64,346.98,299.0,302.76,82601.81,26943789.04,326.188845498664,eth,usd,gemini
1507939200,337.33,346.51,333.36,336.64,21915.31,7468162.09,340.7737371727801,eth,usd,gemini
1508025600,336.49,340.73,319.51,337.33,29926.06,9887248.15,330.389237674455,eth,usd,gemini
1508112000,333.77,350.0,330.0,336.49,36281.3,12357465.3,340.6015027024941,eth,usd,gemini
1508198400,316.21,334.18,308.78,333.77,63277.02,20241567.83,319.88813363840455,eth,usd,gemini
1508284800,313.94,316.21,287.99,316.21,66217.62,20038747.27,302.6195636448426,eth,usd,gemini
1508371200,308.0,317.03,304.19,313.94,25441.33,7891022.21,310.1654752326234,eth,usd,gemini
1508457600,303.77,311.76,302.0,308.0,29352.43,8995128.93,306.4526149964415,eth,usd,gemini
1508544000,300.01,303.77,291.22,303.77,26061.83,7733632.02,296.7417107701186,eth,usd,gemini
1508630400,294.32,306.0,291.56,300.01,17691.69,5232313.57,295.7497881773873,eth,usd,gemini
1508716800,286.25,294.54,275.51,294.32,47239.96,13395689.71,283.5669147475993,eth,usd,gemini
1508803200,296.35,313.0,280.0,286.25,51035.77,15458304.69,302.89157369429324,eth,usd,gemini
1508889600,296.45,304.0,289.0,296.35,23785.01,7009570.06,294.70536526997466,eth,usd,gemini
1508976000,296.06,301.86,293.0,296.45,13595.96,4029617.74,296.3834653823636,eth,usd,gemini
1509062400,296.66,299.17,292.91,296.06,8122.91,2402011.33,295.70822894750773,eth,usd,gemini
1509148800,294.21,297.84,292.0,296.66,9250.73,2726054.38,294.6853253743218,eth,usd,gemini
1509235200,303.22,310.0,294.0,294.21,19998.76,6102039.69,305.1209019959238,eth,usd,gemini
1509321600,306.5,309.42,303.05,303.22,11484.23,3518178.44,306.3486572456316,eth,usd,gemini
1509408000,303.49,309.76,303.49,306.5,15328.63,4698752.45,306.53440327022054,eth,usd,gemini
1509494400,290.4,304.79,289.0,303.49,34467.98,10261009.2,297.6968537175662,eth,usd,gemini
1509580800,285.31,293.0,277.24,290.4,66309.96,18900681.47,285.0353320979231,eth,usd,gemini
1509667200,305.75,308.0,282.72,285.31,30525.24,9078038.91,297.3945138514881,eth,usd,gemini
1509753600,302.0,305.87,295.0,305.75,9250.88,2771979.04,299.64490297139304,eth,usd,gemini
1509840000,296.04,302.0,295.0,302.0,7882.89,2342847.81,297.20671099051236,eth,usd,gemini
1509926400,297.54,305.02,290.49,296.04,31571.15,9401761.27,297.795971005174,eth,usd,gemini
1510012800,292.25,303.5,288.0,297.54,44708.02,13089115.11,292.76883901367137,eth,usd,gemini
1510099200,307.21,319.98,289.27,292.25,83017.93,25556324.0,307.84101699476247,eth,usd,gemini
1510185600,320.5,331.23,305.57,307.21,51669.57,16525230.69,319.8252025321674,eth,usd,gemini
1510272000,298.01,326.0,290.0,320.5,54138.08,16506941.7,304.9044535750067,eth,usd,gemini
1510358400,314.0,321.2,297.51,298.01,36235.16,11159033.07,307.9614680879013,eth,usd,gemini
1510444800,306.47,319.0,299.5,314.0,64763.35,19960542.89,308.207387202793,eth,usd,gemini
1510531200,314.5,318.63,305.36,306.47,35099.68,11030080.69,314.25017806430145,eth,usd,gemini
1510617600,335.39,337.16,312.71,314.5,61700.92,20185847.9,327.1563519636336,eth,usd,gemini
1510704000,331.68,340.0,325.0,335.39,58810.31,19552686.64,332.4703889505089,eth,usd,gemini
